add_num,ent_num,query,region,country
129,173,"Ibex House, The Minories",London EC3N 1DY,United Kingdom
448,735,"c/o Anglo-Caribbean Shipping Co. Ltd., Ibex House, The Minories",London EC3N 1DY,United Kingdom
465,767,"Devonshire House, 1 Devonshire Street",London,United Kingdom
571,906,20 Ironmonger Lane,London EC2V 8EY,United Kingdom
4984,6946,"129 Park Road, NW8",London,United Kingdom
5443,7209,"55 Hawarden Hill, Brooke Road",London NW2 7BR,United Kingdom
5444,7210,"9 Albourne Road, Shepherds Bush",London W12 OLW,United Kingdom
5445,7210,"8 Adie Road, Hammersmith",London W6 OPW,United Kingdom
6841,7917,P.O. Box 3333,London NW6 1RW,United Kingdom
7270,8128,"Unit 49 Skylines Village, Limeharbour",Docklands,United Kingdom
8174,8306,3 Mandeville Place,London,United Kingdom
8177,8309,1 Old Burlington Street,London,United Kingdom
8178,8310,3 Mandeville Place,London,United Kingdom
8181,8313,"43 Palace Mansions, Hammersmith",London,United Kingdom
8214,8345,3 Mandeville Place,London,United Kingdom
8215,8346,128 Buckingham Place,London 5,United Kingdom
8217,8348,2 Stratford Place,London W1N 9AE,United Kingdom
8220,8351,"55 Roebuck House, Palace Street",London,United Kingdom
8221,8352,"55 Roebuck House, Palace Street",London,United Kingdom
8223,8354,"Haven Court, 5 Library Ramp",Gibraltar,United Kingdom
8226,8357,"2 Western Road, Western Green, Thames Ditton",Surrey,United Kingdom
8228,8359,"Haven Court, 5 Library Ramp",Gibraltar,United Kingdom
8239,8370,"Haven Court, 5 Library Ramp",Gibraltar,United Kingdom
8242,8373,112 City Road,London,United Kingdom
8248,8379,"19 Tudor House, Windsor Way, Brook Green",London,United Kingdom
8252,8383,"11 Catherine Place, Westminister",London,United Kingdom
8256,8387,3 Mandeville Place,London,United Kingdom
8259,8390,"P.O. Box 39, Fletchamstead Highway",Coventry,United Kingdom
8270,8397,"21 Victoria Road, Surbiton",Surrey KT6 4LK,United Kingdom
8277,8404,3 Mandeville Place,London,United Kingdom
8278,8405,"Castle Row, Horticultural  Place, Chiswick",London,United Kingdom
8281,8408,"Centric House 390/391, Strand",London,United Kingdom
8282,8409,2 Stratford Place,London W1N 9AE,United Kingdom
8292,8416,3 Mandeville Place,London,United Kingdom
10460,8859,BM Box: MIRA,London WC1N 3XX,United Kingdom
11529,8859,21 Blackstone Road,London NW2 6DA,United Kingdom
11557,8859,"Safiee Suite, EBC House, Townsend Lane",London NW9 8LL,United Kingdom
12077,9600,104 Smithdown Road,"Liverpool, Merseyside L7 4JQ",United Kingdom
12078,9600,2a Hartington Road,Liverpool L8 0SG,United Kingdom
12080,9601,44 Upper Belgrave Road,"Clifton, Bristol BS8 2XN",United Kingdom
12082,9602,88 Smithdown Road,Liverpool L7 4JQ,United Kingdom
12084,9603,63 South Road,"Sparkbrook, Birmingham B11 1EX",United Kingdom
12085,9603,1011 Stockport Road,"Levenshulme, Manchester M9 2TB",United Kingdom
12086,9603,P.O. Box 50,Manchester M19 2SP,United Kingdom
12087,9603,98 Gresham Road,Middlesbrough,United Kingdom
12088,9603,54 Anson Road,London NW2 6AD,United Kingdom
14448,10486,1079 Garratt Lane,London SW17 0LN,United Kingdom
15721,10907,"New Boundary House, London Road, Sunningdale","Ascot, Berkshire SL5 0DJ",United Kingdom
15723,10908,"New Boundary House, London Road, Sunningdale","Ascot, Berkshire SL5 0DJ",United Kingdom
15725,10909,"Hurst Grove, Standord Lane, Hurst","Reading, Berkshire RG10 0SQ",United Kingdom
15728,10910,"New Boudary House, London Road, Sunningdale","Ascot, Berkshire SL5 0DJ",United Kingdom
15730,10911,"New Boundary House, London Road, Sunningdale","Ascot, Berkshire SL5 0DJ",United Kingdom
15738,10915,"Mapstone House, Mapstone Hill, Lustleigh, Newton Abbot",Devon TQ13 9SE,United Kingdom
15746,10919,"New Boudary House, London Road, Sunningdale","Ascot, Berkshire SL5 0DJ",United Kingdom
16271,10758,10 Montpelier Square,London SW7 1JU,United Kingdom
16272,10758,"Hurst Grove, Sanford Lane, Hurst","Reading, Berkshire RG10 0SQ",United Kingdom
16273,10758,"Middleton House, Titlarks Hill Road, Sunningdale","Ascot, Berkshire SL5 0JB",United Kingdom
16274,10758,"New Boundary House, London Road, Sunningdale","Ascot, Berkshire SL5 0DJ",United Kingdom
16275,10758,"Mapstone House, Mapstone Hill, Lustleigh","Newton Abbot, Devon TQ13 9SE",United Kingdom
16277,10758,62 Chester Square,London,United Kingdom
16280,11188,10 Montpelier Square,London SW7 1JU,United Kingdom
16281,11188,"Hurst Grove, Sandford Lane, Hurst","Reading, Berkshire RG10 0SQ",United Kingdom
16282,11188,"Middleton House, Titlarks Hill Road, Sunningdale","Ascot, Berkshire SL5 0JB",United Kingdom
16283,11188,"New Boundary House, London road, Sunningdale","Ascot, Berkshire SL5 0DJ",United Kingdom
16284,11188,"Mapstone House, Mapstone Hill, Lustleigh","Newton Abbot, Devon TQ13 9SE",United Kingdom
16289,10915,"Moorgate House, King Street","Newton Abbot, Devon TQ12 2LG",United Kingdom
16292,11190,"Newboundary House, London Road","Sunningdale, Berkshire SL5 0DJ",United Kingdom
16293,10916,"New Boundary House, London Road","Sunningdale, Berkshire SL5 0DJ",United Kingdom
16294,10917,"Hurst Grove, Sandford Lane, Hurst","Reading, Berkshire RG10 0SQ",United Kingdom
16295,10917,"Newboudary House, London Road, Sunningdale","Ascot, Berkshire SL5 0DJ",United Kingdom
16297,10918,"Hurst Grove, Sandford Lane, Hurst","Reading, Berkshire RG10 0SQ",United Kingdom
16298,10918,"New Boundary House, London Road, Sunningdale","Ascot, Berkshire SL5 0DJ",United Kingdom
16299,10919,"Middleton House, Titlarks Hill Road, Sunningdale","Ascot, Berkshire SL5 0JB",United Kingdom
16305,11193,"Flat 1, Aileen Gardens, 51A Park Road","Camberley, Surrey GU15 2SP",United Kingdom
16307,11194,"Newboundary House, London Road, Sunningdale","Ascot, Berkshire SL5 0DJ",United Kingdom
16813,4642,5 Lothbury,London EC2R 7HD,United Kingdom
17014,10368,5 Lothbury,London EC2R 7HD,United Kingdom
17438,11620,"5th Floor NIOC House, 4, Victoria Street",London SW1H 0NE,United Kingdom
17457,11626,4 Victoria Street,London SW1H 0NE,United Kingdom
17481,11632,4/5 Fenchurch Buildings,London EC3M 5HN,United Kingdom
17488,11635,47 Queen Anne Street,London W1G 9JG,United Kingdom
17490,11636,"NIOC House, 4 Victoria Street, Westminster",London SW1H 0NE,United Kingdom
17492,11637,"C/O Kala Limited, N.I.O.C. House, 4 Victoria Street",London SW1H 0NE,United Kingdom
17494,11638,"Riverside House, Riverside Drive",Aberdeen AB11 7LH,United Kingdom
17496,11639,"NIOC House, 4 Victoria Street",London SW1H 0NE,United Kingdom
17498,11640,47 Queen Anne Street,London W1G 9JG,United Kingdom
17517,11640,"6th Floor NIOC Ho, 4 Victoria St",London SW1H 0NE,United Kingdom
24094,16019,"72 Hillview Court, Woking",Surrey GU22 7QW,United Kingdom
28910,18997,"Suite 351, 10 Great Russell Street",London WC1B 3BQ,United Kingdom
29915,19709,50 St. Leonards Road,"Bexhill on Sea, East Sussex",United Kingdom
29916,19709,74 High Street,"Battle, East Sussex",United Kingdom
29918,19710,"The Retreat, St. Mary's Lane",Bexhill on Sea,United Kingdom
29922,19712,50 St. Leonards Road,"Bexhill on Sea, East Sussex",United Kingdom
29924,19713,"Hayselden Manor, Sissinghurst","Cranbrook, Kent TN172A",United Kingdom
30218,19969,"107 Kings Road, Old Trafford","Manchester, Lancashire M16 9WY",United Kingdom
30630,20259,7 Welbeck Street,London W1G 9YE,United Kingdom
36671,24283,"5, Belgrave Square, Belgravia",London SW1X 8PH,United Kingdom
37405,24750,"Chase Business Centre, 39-41 Chase Side",London N14 5BP,United Kingdom
38433,25420,98a Kensington High Street,London W8 4SG,United Kingdom
38434,25420,"4 Moorgate, EC2R 6AL",London,United Kingdom
38488,25440,"5/7 Eastcheap, EC3M 1JT",London,United Kingdom
38575,25480,10 Greycoat Place,London SW1P 1SB,United Kingdom
38699,25578,98a Kensington High Street,London W8 4SG,United Kingdom
38849,25679,"6 Lothbury, EC2R 7HH",London,United Kingdom
39578,26120,"71 Linton Road, Acton",London W3 9HL,United Kingdom
40119,26466,"Flat 1 73a White Lion Street, Islington",London N1 9PF,United Kingdom
40120,26466,72 High Street Haslemere,Surrey GU27 2LA,United Kingdom
40568,26748,Mansion House Manchester Road,Altrincham Cheshire WA14 4RW,United Kingdom
40703,11620,"NIOC House, 4 Victoria Street",London SW1H 0NE,United Kingdom
40704,11620,4 Victoria Street,London SW1 H0NB,United Kingdom
41298,27189,"3rd Floor, Berkeley Court, 6/7 Pollen St",London W1S 1ND,United Kingdom
41866,27590,"1 College Yard, Winchester Avenue","London, England NW6 7UA",United Kingdom
41867,27590,"207 Jersey Road, Osterley",London TW7 4RE,United Kingdom
41869,27591,"207 Jersey Road, Osterley",London TW7 4RE,United Kingdom
